# mlight/meV nloc/cm-3 sensitivity
4.000000000000001421e+01 1.000000000000000000e+00 0.000000000000000000e+00
4.224291601598523727e+01 1.000000000000000000e+00 0.000000000000000000e+00
4.461159883833953899e+01 1.000000000000000000e+00 0.000000000000000000e+00
4.711310057666999995e+01 1.000000000000000000e+00 0.000000000000000000e+00
4.975486877282340004e+01 1.000000000000000000e+00 0.000000000000000000e+00
5.254476857391861699e+01 1.000000000000000000e+00 0.000000000000000000e+00
5.549110614868559566e+01 1.000000000000000000e+00 0.000000000000000000e+00
5.860265341682614348e+01 1.000000000000000000e+00 0.000000000000000000e+00
6.188867416502191077e+01 1.000000000000000000e+00 0.000000000000000000e+00
6.535895162734237829e+01 1.000000000000000000e+00 0.000000000000000000e+00
6.902381761216662426e+01 1.000000000000000000e+00 0.000000000000000000e+00
7.289418326233591472e+01 1.000000000000000000e+00 0.000000000000000000e+00
7.698157154011725822e+01 1.000000000000000000e+00 0.000000000000000000e+00
8.129815153369328584e+01 1.000000000000000000e+00 0.000000000000000000e+00
8.585677468731614681e+01 1.000000000000000000e+00 0.000000000000000000e+00
9.067101306299150565e+01 1.000000000000000000e+00 0.000000000000000000e+00
9.575519974760622688e+01 1.000000000000000000e+00 0.000000000000000000e+00
1.011244715258004874e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.067948139456319865e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.127831089112024898e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.191071849439410357e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.257858702621828968e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.328390488370752678e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.402877195916981350e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.481540589196547160e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.564614867092575139e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.652347360698838656e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.744999269680897100e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.842846439927142228e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.946180184804990745e+02 1.000000000000000000e+00 0.000000000000000000e+00
2.055308152467293610e+02 1.000000000000000000e+00 0.000000000000000000e+00
2.170555241791140872e+02 1.000000000000000000e+00 0.000000000000000000e+00
2.292264569675991766e+02 1.000000000000000000e+00 0.000000000000000000e+00
2.420798492581035646e+02 1.000000000000000000e+00 0.000000000000000000e+00
2.556539685343107919e+02 1.000000000000000000e+00 0.000000000000000000e+00
2.699892280487055132e+02 1.000000000000000000e+00 0.000000000000000000e+00
2.851283071420536999e+02 1.000000000000000000e+00 0.000000000000000000e+00
3.011162783095454074e+02 1.000000000000000000e+00 0.000000000000000000e+00
3.180007413919040005e+02 1.000000000000000000e+00 0.000000000000000000e+00
3.358319652909805768e+02 1.000000000000000000e+00 0.000000000000000000e+00
3.546630376317539231e+02 1.000000000000000000e+00 0.000000000000000000e+00
3.745500228163097063e+02 1.000000000000000000e+00 0.000000000000000000e+00
3.955521289403679930e+02 1.000000000000000000e+00 0.000000000000000000e+00
4.177318840693031348e+02 1.000000000000000000e+00 0.000000000000000000e+00
4.411553223984711849e+02 1.000000000000000000e+00 0.000000000000000000e+00
4.658921808520876198e+02 1.000000000000000000e+00 0.000000000000000000e+00
4.920161067059729021e+02 1.000000000000000000e+00 0.000000000000000000e+00
5.196048768523114632e+02 1.000000000000000000e+00 0.000000000000000000e+00
5.487406293592129032e+02 1.000000000000000000e+00 0.000000000000000000e+00
5.795101080145033166e+02 1.000000000000000000e+00 0.000000000000000000e+00
6.120049205817790607e+02 1.000000000000000000e+00 0.000000000000000000e+00
6.463218115376449759e+02 1.000000000000000000e+00 0.000000000000000000e+00
6.825629501021041960e+02 1.000000000000000000e+00 0.000000000000000000e+00
7.208362344196575577e+02 1.000000000000000000e+00 5.221856075389290364e-02
